SUID,phylum,class,order,family,genus,species,label,name,av,AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,Degree,degree.layout,domain,Eccentricity,IsSingleNode,NeighborhoodConnectivity,number,NumberOfDirectedEdges,NumberOfUndirectedEdges,PartnerOfMultiEdgedNodePairs,pcntSamples,Radiality,samples,selected,SelfLoops,shared name,Stress,sum,taxon_metblm,taxonomy,TopologicalCoefficient
392,Actinobacteria,Actinobacteria,Nanopelagicales,Nanopelagicaceae,Planktophila,acI_A,Planktophila_8,FJ612159.1.1423,12,3.08530806,0.02427176,0.32411674,0.36363636,11,11,B,6,FALSE,11.81818182,35,11,0,0,88,0.7682991,204,FALSE,0,FJ612159.1.1423,5754,2461,photoheterotroph,(acI_6) Ca. Planktophila sp.,0.19076006
591,Actinobacteria,Actinobacteria,Nanopelagicales,Nanopelagicaceae,Planktophila,lacus,P.lacus_10,AY752119.1.1395,6,3.2985782,0.00495684,0.30316092,0.5,9,9,B,6,FALSE,14.88888889,215,9,0,0,89,0.74460242,206,FALSE,0,AY752119.1.1395,1712,1168,photoheterotroph,acI-A1 (acI_26) Ca. Planktophila Iacus,0.26120858
593,Actinobacteria,Actinobacteria,Nanopelagicales,Nanopelagicaceae,Planktophila,lacus,P.lacus_17,EU800657.1.1249,3,3.57819905,0.00203256,0.2794702,0.52777778,9,9,B,6,FALSE,12.44444444,216,9,0,0,69,0.71353344,160,FALSE,0,EU800657.1.1249,738,445,photoheterotroph,acI-A1 (acI_27) Ca. Planktophila Iacus,0.28940568
360,Actinobacteria,Actinobacteria,Nanopelagicales,Nanopelagicaceae,Planktophila,acI-A6,P.A6_3,JX406245.1.1480,20,3.28436019,0.00520286,0.3044733,0.52564103,13,13,B,6,FALSE,13.38461538,220,13,0,0,15,0.7461822,34,FALSE,0,JX406245.1.1480,1624,690,photoheterotroph,acI-A6 (acI_28),0.25253991
617,Actinobacteria,Actinobacteria,Nanopelagicales,Nanopelagicaceae,Planktophila,acI_A,Planktophila_20,HM129990.1.1435,2,3.74881517,0.00430114,0.26675095,0.5,5,5,B,7,FALSE,10,198,5,0,0,47,0.69457609,108,FALSE,0,HM129990.1.1435,1052,209,photoheterotroph,acI-A? (acI_23) Ca. Planktophila sp.,0.37692308
362,Actinobacteria,Actinobacteria,Nanopelagicales,Nanopelagicaceae,Planktophila,vernalis,P.vernalis_12,GU305803.1.1484,4,3.51184834,0.01290131,0.28475034,0.36363636,11,11,B,7,FALSE,10.09090909,4,11,0,0,78,0.72090574,181,FALSE,0,GU305803.1.1484,3000,786,photoheterotroph,acI-A7 (acI_1) Ca. Planktophila vernalis,0.24390244
363,Actinobacteria,Actinobacteria,Nanopelagicales,Nanopelagicaceae,Planktophila,vernalis,P.vernalis_2,EU117671.1.1506,49,3.11374408,0.04358454,0.32115677,0.26839827,22,22,B,6,FALSE,11.72727273,184,22,0,0,96,0.76513955,223,FALSE,0,EU117671.1.1506,11502,10827,photoheterotroph,acI-A7 (acI_21) Ca. Planktophila vernalis,0.1743555
364,Actinobacteria,Actinobacteria,Nanopelagicales,Nanopelagicaceae,Planktophila,limnetica,P.limnetica_14,GQ390228.1.1437,4,3.37440758,0.00622637,0.29634831,0.43939394,12,12,B,6,FALSE,12.41666667,201,12,0,0,69,0.73617694,159,FALSE,0,GQ390228.1.1437,2150,617,photoheterotroph,acI-phila (acI_24) Ca.Planktophila limnetica,0.24833333
365,Actinobacteria,Actinobacteria,Nanopelagicales,Nanopelagicaceae,Planktophila,limnetica,P.limnetica_7,EU801039.1.1483,12,3.16587678,0.013321,0.31586826,0.35833333,16,16,B,6,FALSE,13.3125,5,16,0,0,88,0.75934702,205,FALSE,0,EU801039.1.1483,4514,2361,photoheterotroph,acI-phila (acI_2) Ca.Planktophila limnetica,0.20800781
366,Actinobacteria,Actinobacteria,Nanopelagicales,Nanopelagicaceae,Planktophila,acI_A1,P.A1_9,JN626727.1.1334,7,3.38388626,0.00384727,0.29551821,0.53333333,10,10,B,6,FALSE,13.4,175,10,0,0,85,0.73512375,198,FALSE,0,JN626727.1.1334,1500,1289,photoheterotroph,acI-A1 (acI_19) Ca. Planktophila versitilis/dulcis,0.268
447,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Cytophagaceae,Cytophagaceae,Cytophagaceae_1,FN668106.1.1476,6,3.85781991,0.01121236,0.25921376,0,3,1,B,7,FALSE,7.66666667,169,3,0,0,85,0.68246445,197,FALSE,0,FN668106.1.1476,1580,1095,0,0,0.33333333
383,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium,Flavobacterium_2,AUSH02000015.468.1961,11,3.36492891,0.078966,0.2971831,0.19444444,9,1,B,7,FALSE,7.11111111,188,9,0,0,34,0.73723012,79,FALSE,0,AUSH02000015.468.1961,11130,853,"""mostly aquatic some fish pathogens, psychrotolerant, prefer low salinity, non-cellulolytic, most can degrade complex polysaccharides eg xylan, chitin, alginate""",The Genus Flavobacterium,0.16402116
391,Cyanobacteria,Synechococcophycideae,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus,Synechococcus_1,GQ130152.1.1440,18,3.07582938,0.03549616,0.32511556,0.25,9,7,B,6,FALSE,10.66666667,228,9,0,0,58,0.76935229,135,FALSE,0,GQ130152.1.1440,6250,2407,0,0,0.18323587
381,Cyanobacteria-chloroplast,Chloroplast,Stramenopiles,Stramenopiles,Stramenopiles,Stramenopiles,Stramenopiles_1,AB661539.1.1411,168,3.23222749,0.01922193,0.30938416,0.14285714,8,4,B,7,FALSE,8.625,24,8,0,0,78,0.75197472,180,FALSE,0,AB661539.1.1411,3528,30312,"""macro-algal eukaryote, phytoplankton, chl-c""",0,0.171875
373,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acetobacteraceae,Acetobacteraceae,Acetobacteraceae_1,AY509418.1.1326,9,2.71563981,0.16351955,0.36823735,0.08187135,19,7,B,6,FALSE,7.84210526,130,19,0,0,57,0.80937335,132,FALSE,0,AY509418.1.1326,28850,1168,0,0,0.08916409
439,Proteobacteria,Alphaproteobacteria,Rickettsiales,Pelagibacteraceae,CaFonsibacter,CaFonsibacter,CaFonsi_6,EU800360.1.1446,7,3.25118483,0.00768091,0.30758017,0.35714286,8,8,B,6,FALSE,11.875,113,8,0,0,79,0.74986835,184,FALSE,0,EU800360.1.1446,1782,1328,"""freshwater, photoheterotroph, fastidious, green light rhodopsins""",IIIb-LD12-A (LD12_4),0.22836538
452,Proteobacteria,Alphaproteobacteria,Rickettsiales,Pelagibacteraceae,CaFonsibacter,CaFonsibacter,CaFonsi_7,EU803376.1.1258,6,3.18009479,0.01430769,0.31445604,0.37777778,10,10,B,6,FALSE,10.8,171,10,0,0,63,0.75776725,146,FALSE,0,EU803376.1.1258,2950,818,"""freshwater, photoheterotroph, fastidious, green light rhodopsins""",IIIb-LD12-A (LD12_6),0.20377358
596,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Comamonadaceae,Comamonadaceae,Comamonadaceae_3,FM161354.1.1520,7,3.11374408,0.01556647,0.32115677,0.34848485,12,11,B,6,FALSE,14.33333333,194,12,0,0,41,0.76513955,95,FALSE,0,FM161354.1.1520,3942,620,0,0,0.22395833
358,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Comamonadaceae,Comamonadaceae,Comamonadaceae_4,FQ658994.1.1350,22,3.25592417,0.01199207,0.30713246,0.3956044,14,13,B,6,FALSE,12.92857143,2,14,0,0,33,0.74934176,77,FALSE,0,FQ658994.1.1350,3114,1702,"""curved rods, motile, phototrophic, mesotrophic some psycrotolerant, facultative anaerobic photoheterotrophs and aerobic heterotrophs in the dark, some also fermentative, have bact-chl-a ubut unclear photosynth path,N fixation and can use NH4 and glutamate as sole nitrogen sources, thiamine and biotin auxotrophy""",prob rhodoferax genus,0.22431078
696,Proteobacteria,Betaproteobacteria,MWH-UniP1,MWH-UniP1,MWH-UniP1,MWH-UniP1,MWH-UniP1,JN868732.1.1532,3,3.62559242,0.00553819,0.27581699,0,3,3,B,7,FALSE,8.33333333,148,3,0,0,42,0.70826751,97,FALSE,0,JN868732.1.1532,704,268,0,0,0.34920635
380,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Rhodocyclaceae,Rhodocyclaceae,Rhodocyclaceae,JN868881.1.1534,5,3.01421801,0.0142744,0.33176101,0.33333333,9,8,B,6,FALSE,13.88888889,123,9,0,0,61,0.776198,141,FALSE,0,JN868881.1.1534,3786,665,0,0,0.19025875
