SUID,edge,from,to,av_corr,interaction,name,phydist,from_genus,from_col,to_genus,to_col,from_phyla,to_phyla,from_phyla_col,to_phyla_col
834,87to223,FN668020.1.1490,HM129033.1.1447,NA,co,FN668020.1.1490 (co) HM129033.1.1447,NA,Comamonadaceae,NA,Planktophila,NA,Proteobacteria,Actinobacteria,NA,NA
835,87to225,FN668020.1.1490,FJ936865.1.1487,NA,co,FN668020.1.1490 (co) FJ936865.1.1487,NA,Comamonadaceae,NA,Comamonadaceae,NA,Proteobacteria,Proteobacteria,NA,NA
838,87to211,FN668020.1.1490,AJ575701.1.1473,NA,co,FN668020.1.1490 (co) AJ575701.1.1473,NA,Comamonadaceae,NA,Alcaligenaceae,NA,Proteobacteria,Proteobacteria,NA,NA
1115,180to182,AB753922.1.1459,FJ572664.1.1483,NA,me,AB753922.1.1459 (me) FJ572664.1.1483,NA,Comamonadaceae,NA,acIV,NA,Proteobacteria,Actinobacteria,NA,NA
1116,180to220,AB753922.1.1459,JX406245.1.1480,NA,me,AB753922.1.1459 (me) JX406245.1.1480,NA,Comamonadaceae,NA,Planktophila,NA,Proteobacteria,Actinobacteria,NA,NA
1117,180to223,AB753922.1.1459,HM129033.1.1447,NA,me,AB753922.1.1459 (me) HM129033.1.1447,NA,Comamonadaceae,NA,Planktophila,NA,Proteobacteria,Actinobacteria,NA,NA
1118,180to225,AB753922.1.1459,FJ936865.1.1487,NA,me,AB753922.1.1459 (me) FJ936865.1.1487,NA,Comamonadaceae,NA,Comamonadaceae,NA,Proteobacteria,Proteobacteria,NA,NA
933,16to33,HQ860586.1.1449,AJ536838.1.1378,NA,me,HQ860586.1.1449 (me) AJ536838.1.1378,NA,Limnohabitans,NA,Planktophila,NA,Proteobacteria,Actinobacteria,NA,NA
934,16to47,HQ860586.1.1449,EU800831.1.1486,NA,me,HQ860586.1.1449 (me) EU800831.1.1486,NA,Limnohabitans,NA,acIV,NA,Proteobacteria,Actinobacteria,NA,NA
936,16to87,HQ860586.1.1449,FN668020.1.1490,NA,me,HQ860586.1.1449 (me) FN668020.1.1490,NA,Limnohabitans,NA,Comamonadaceae,NA,Proteobacteria,Proteobacteria,NA,NA
941,16to223,HQ860586.1.1449,HM129033.1.1447,NA,me,HQ860586.1.1449 (me) HM129033.1.1447,NA,Limnohabitans,NA,Planktophila,NA,Proteobacteria,Actinobacteria,NA,NA
943,16to180,HQ860586.1.1449,AB753922.1.1459,NA,co,HQ860586.1.1449 (co) AB753922.1.1459,NA,Limnohabitans,NA,Comamonadaceae,NA,Proteobacteria,Proteobacteria,NA,NA
1111,120to186,GU305813.1.1469,EF019811.1.1352,NA,co,GU305813.1.1469 (co) EF019811.1.1352,NA,Microcystis,NA,Sediminibacterium,NA,Cyanobacteria,Bacteroidetes,NA,NA
1155,174to180,GU127206.1.1228,AB753922.1.1459,NA,me,GU127206.1.1228 (me) AB753922.1.1459,NA,Oxalobacteraceae,NA,Comamonadaceae,NA,Proteobacteria,Proteobacteria,NA,NA
1156,174to184,GU127206.1.1228,EU117671.1.1506,NA,me,GU127206.1.1228 (me) EU117671.1.1506,NA,Oxalobacteraceae,NA,Planktophila,NA,Proteobacteria,Actinobacteria,NA,NA
1157,174to186,GU127206.1.1228,EF019811.1.1352,NA,co,GU127206.1.1228 (co) EF019811.1.1352,NA,Oxalobacteraceae,NA,Sediminibacterium,NA,Proteobacteria,Bacteroidetes,NA,NA
1158,174to220,GU127206.1.1228,JX406245.1.1480,NA,co,GU127206.1.1228 (co) JX406245.1.1480,NA,Oxalobacteraceae,NA,Planktophila,NA,Proteobacteria,Actinobacteria,NA,NA
1159,174to225,GU127206.1.1228,FJ936865.1.1487,NA,co,GU127206.1.1228 (co) FJ936865.1.1487,NA,Oxalobacteraceae,NA,Comamonadaceae,NA,Proteobacteria,Proteobacteria,NA,NA
718,5to87,EU801039.1.1483,FN668020.1.1490,NA,me,EU801039.1.1483 (me) FN668020.1.1490,NA,Planktophila,NA,Comamonadaceae,NA,Actinobacteria,Proteobacteria,NA,NA
720,5to184,EU801039.1.1483,EU117671.1.1506,NA,co,EU801039.1.1483 (co) EU117671.1.1506,NA,Planktophila,NA,Planktophila,NA,Actinobacteria,Actinobacteria,NA,NA
721,5to186,EU801039.1.1483,EF019811.1.1352,NA,me,EU801039.1.1483 (me) EF019811.1.1352,NA,Planktophila,NA,Sediminibacterium,NA,Actinobacteria,Bacteroidetes,NA,NA
726,5to223,EU801039.1.1483,HM129033.1.1447,NA,me,EU801039.1.1483 (me) HM129033.1.1447,NA,Planktophila,NA,Planktophila,NA,Actinobacteria,Actinobacteria,NA,NA
766,220to223,JX406245.1.1480,HM129033.1.1447,NA,co,JX406245.1.1480 (co) HM129033.1.1447,NA,Planktophila,NA,Planktophila,NA,Actinobacteria,Actinobacteria,NA,NA
767,220to225,JX406245.1.1480,FJ936865.1.1487,NA,co,JX406245.1.1480 (co) FJ936865.1.1487,NA,Planktophila,NA,Comamonadaceae,NA,Actinobacteria,Proteobacteria,NA,NA
768,223to225,HM129033.1.1447,FJ936865.1.1487,NA,co,HM129033.1.1447 (co) FJ936865.1.1487,NA,Planktophila,NA,Comamonadaceae,NA,Actinobacteria,Proteobacteria,NA,NA
797,184to186,EU117671.1.1506,EF019811.1.1352,NA,me,EU117671.1.1506 (me) EF019811.1.1352,NA,Planktophila,NA,Sediminibacterium,NA,Actinobacteria,Bacteroidetes,NA,NA
802,184to211,EU117671.1.1506,AJ575701.1.1473,NA,me,EU117671.1.1506 (me) AJ575701.1.1473,NA,Planktophila,NA,Alcaligenaceae,NA,Actinobacteria,Proteobacteria,NA,NA
805,184to223,EU117671.1.1506,HM129033.1.1447,NA,me,EU117671.1.1506 (me) HM129033.1.1447,NA,Planktophila,NA,Planktophila,NA,Actinobacteria,Actinobacteria,NA,NA
806,184to225,EU117671.1.1506,FJ936865.1.1487,NA,me,EU117671.1.1506 (me) FJ936865.1.1487,NA,Planktophila,NA,Comamonadaceae,NA,Actinobacteria,Proteobacteria,NA,NA
841,186to211,EF019811.1.1352,AJ575701.1.1473,NA,co,EF019811.1.1352 (co) AJ575701.1.1473,NA,Sediminibacterium,NA,Alcaligenaceae,NA,Bacteroidetes,Proteobacteria,NA,NA
842,186to225,EF019811.1.1352,FJ936865.1.1487,NA,co,EF019811.1.1352 (co) FJ936865.1.1487,NA,Sediminibacterium,NA,Comamonadaceae,NA,Bacteroidetes,Proteobacteria,NA,NA
843,186to220,EF019811.1.1352,JX406245.1.1480,NA,co,EF019811.1.1352 (co) JX406245.1.1480,NA,Sediminibacterium,NA,Planktophila,NA,Bacteroidetes,Actinobacteria,NA,NA
844,186to223,EF019811.1.1352,HM129033.1.1447,NA,co,EF019811.1.1352 (co) HM129033.1.1447,NA,Sediminibacterium,NA,Planktophila,NA,Bacteroidetes,Actinobacteria,NA,NA
1174,108to120,FN668098.1.1488,GU305813.1.1469,NA,co,FN668098.1.1488 (co) GU305813.1.1469,NA,Sediminibacterium,NA,Microcystis,NA,Bacteroidetes,Cyanobacteria,NA,NA
