number	OTUID	sum	samples	av	pcntSamples	domain	phylum	class	order	family	genus	species	label	taxonomy	taxon_metblm
103	GQ923925.1.1382	217	106	2	46	B	Actinobacteria	Acidimicrobiia	Acidimicrobiales	ac-IV (C111)	acIV	acIV	ac-IV_16	"taxonomy unresolved, probable C111 is a family or order containing acIV"	"heterotrophic, aerobic, salt tolerant, neutro-alkalinophilic, mesophilic, non-motile, rods, G+ve, "
112	FN668308.1.1471	214	105	2	45	B	Actinobacteria	Acidimicrobiia	Acidimicrobiales	ac-IV (C111)	acIV	acIV	ac-IV_17	"taxonomy unresolved, probable C111 is a family or order containing acIV"	"heterotrophic, aerobic, salt tolerant, neutro-alkalinophilic, mesophilic, non-motile, rods, G+ve, "
195	HM856448.1.1440	6921	198	35	85	B	Actinobacteria	Acidimicrobiia	Acidimicrobiales	ac-IV (C111)	acIV	acIV	ac-IV_2	"taxonomy unresolved, probable C111 is a family or order containing acIV"	"heterotrophic, aerobic, salt tolerant, neutro-alkalinophilic, mesophilic, non-motile, rods, G+ve, "
162	HM856480.1.1443	4444	229	19	99	B	Actinobacteria	Acidimicrobiia	Acidimicrobiales	ac-IV (C111)	acIV	acIV	ac-IV_3	"taxonomy unresolved, probable C111 is a family or order containing acIV"	"heterotrophic, aerobic, salt tolerant, neutro-alkalinophilic, mesophilic, non-motile, rods, G+ve, "
181	HM856412.1.1437	1798	124	15	53	B	Actinobacteria	Acidimicrobiia	Acidimicrobiales	ac-IV (C111)	acIV	acIV	ac-IV_4	"taxonomy unresolved, probable C111 is a family or order containing acIV"	"heterotrophic, aerobic, salt tolerant, neutro-alkalinophilic, mesophilic, non-motile, rods, G+ve, "
47	EU800831.1.1486	3012	204	15	88	B	Actinobacteria	Acidimicrobiia	Acidimicrobiales	ac-IV (C111)	acIV	acIV	ac-IV_5	"taxonomy unresolved, probable C111 is a family or order containing acIV"	"heterotrophic, aerobic, salt tolerant, neutro-alkalinophilic, mesophilic, non-motile, rods, G+ve, "
73	HM856380.1.1434	2469	178	14	77	B	Actinobacteria	Acidimicrobiia	Acidimicrobiales	ac-IV (C111)	acIV	acIV	ac-IV_6	"taxonomy unresolved, probable C111 is a family or order containing acIV"	"heterotrophic, aerobic, salt tolerant, neutro-alkalinophilic, mesophilic, non-motile, rods, G+ve, "
54	DQ521525.1.1438	2882	218	13	94	B	Actinobacteria	Acidimicrobiia	Acidimicrobiales	ac-IV (C111)	acIV	acIV	ac-IV_7	"taxonomy unresolved, probable C111 is a family or order containing acIV"	"heterotrophic, aerobic, salt tolerant, neutro-alkalinophilic, mesophilic, non-motile, rods, G+ve, "
105	KX163603.1.1375	2100	209	10	90	B	Actinobacteria	Acidimicrobiia	Acidimicrobiales	ac-IV (C111)	acIV	acIV	ac-IV_8	"taxonomy unresolved, probable C111 is a family or order containing acIV"	"heterotrophic, aerobic, salt tolerant, neutro-alkalinophilic, mesophilic, non-motile, rods, G+ve, "
182	FJ572664.1.1483	1181	173	7	75	B	Actinobacteria	Acidimicrobiia	Acidimicrobiales	ac-IV (C111)	acIV	acIV	ac-IV_9	"taxonomy unresolved, probable C111 is a family or order containing acIV"	"heterotrophic, aerobic, salt tolerant, neutro-alkalinophilic, mesophilic, non-motile, rods, G+ve, "
208	AY752098.1.1391	3213	214	15	92	B	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetales	Actinomycetales	Actinomycetales	Actinomycetales_1	0	0
60	FN668303.1.1462	1269	217	6	94	B	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetales	Actinomycetales	Actinomycetales	Actinomycetales_3	0	0
226	AY948005.1.1440	719	198	4	85	B	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetales	Actinomycetales	Actinomycetales	Actinomycetales_4	0	0
13	GU305765.1.1485	152	79	2	34	B	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetales	Actinomycetales	Actinomycetales	Actinomycetales_5	0	0
126	HM128717.1.1432	466	88	5	38	B	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Microbacteriaceae	Microbacteriaceae	Microbacteriaceae_2	0	0
81	FN668214.1.1474	254	76	3	33	B	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Microbacteriaceae	Microbacteriaceae	Microbacteriaceae_4	0	0
205	HM128604.1.1442	351	103	3	44	B	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Microbacteriaceae	Microbacteriaceae	Microbacteriaceae_5	0	0
57	EU234319.1.1490	332	121	3	52	B	Actinobacteria	Actinobacteria	Actinomycetales	Mycobacteriaceae	Mycobacterium	Mycobacterium	Mycobacterium	0	0
147	FN550136.1.1476	188	80	2	34	B	Actinobacteria	Actinobacteria	Actinomycetales	Williamsiaceae	Williamsia	Williamsia	Williamsia	0	0
19	GU305712.1.1497	3651	193	19	83	B	Actinobacteria	Actinobacteria	Nanopelagicales	Nanopelagicaceae	acI_C	acI_C	acI_C	acI-C	photoheterotroph
40	FN668259.1.1474	38433	231	166	100	B	Actinobacteria	Actinobacteria	Nanopelagicales	Nanopelagicaceae	Nanopelagicus	limnes	N.limnes_1	acI-B1  (acI_9) Ca. Nanopelagicus sp.	"aerobic chemoheterotroph, auxotrophy for various amino acids, vitamins and reduced sulphur sources"
187	FN668268.1.1474	1325	178	7	77	B	Actinobacteria	Actinobacteria	Nanopelagicales	Nanopelagicaceae	Nanopelagicus	limnes	N.limnes_2	acI-B1 (acI_22) Ca. Nanopelagicus sp.	"aerobic chemoheterotroph, auxotrophy for various amino acids, vitamins and reduced sulphur sources"
93	FN668262.1.1467	1213	194	6	84	B	Actinobacteria	Actinobacteria	Nanopelagicales	Nanopelagicaceae	Nanopelagicus	limnes	N.limnes_3	acI-B1 (acI_13) Ca. Nanopelagicus sp.	"aerobic chemoheterotroph, auxotrophy for various amino acids, vitamins and reduced sulphur sources"
168	FN668296.1.1471	967	175	6	75	B	Actinobacteria	Actinobacteria	Nanopelagicales	Nanopelagicaceae	Nanopelagicus	acI-B1	Nanopel_4	acI-B1 (acI_18) Ca. Nanopelagicus sp.	photoheterotroph
74	EU800836.1.1483	695	160	4	69	B	Actinobacteria	Actinobacteria	Nanopelagicales	Nanopelagicaceae	Nanopelagicus	acI-B1	Nanopel_5	acI-B1 (acI_12) Ca. Nanopelagicus sp.	"aerobic chemoheterotroph, auxotrophy for various amino acids, vitamins and reduced sulphur sources"
29	JN869030.1.1506	287	132	2	57	B	Actinobacteria	Actinobacteria	Nanopelagicales	Nanopelagicaceae	Nanopelagicus	acI-B1	Nanopel_6	acI-B1 (acI_4) Ca. Nanopelagicus sp.	"aerobic chemoheterotroph, auxotrophy for various amino acids, vitamins and reduced sulphur sources"
118	HM856571.1.1445	229	128	2	55	B	Actinobacteria	Actinobacteria	Nanopelagicales	Nanopelagicaceae	Nanopelagicus	acI-B1	Nanopel_7	acI-B1 (acI_14) Ca. Nanopelagicus sp.	"aerobic chemoheterotroph, auxotrophy for various amino acids, vitamins and reduced sulphur sources"
38	JN868973.1.1510	239	118	2	51	B	Actinobacteria	Actinobacteria	Nanopelagicales	Nanopelagicaceae	Nanopelagicus	acI-B1	Nanopel_9	acI-B1 (acI_8) Ca. Nanopelagicus sp.	"aerobic chemoheterotroph, auxotrophy for various amino acids, vitamins and reduced sulphur sources"
140	HE574392.1.1305	22519	231	97	100	B	Actinobacteria	Actinobacteria	Nanopelagicales	Nanopelagicaceae	Planktophila	vernalis	P.vernalis_1	acI-A7 (acI_16) Ca. Planktophila vernalis	photoheterotroph
215	AY752119.1.1395	1168	206	6	89	B	Actinobacteria	Actinobacteria	Nanopelagicales	Nanopelagicaceae	Planktophila	lacus	P.lacus_10	acI-A1 (acI_26) Ca. Planktophila Iacus	photoheterotroph
33	AJ536838.1.1378	1093	199	5	86	B	Actinobacteria	Actinobacteria	Nanopelagicales	Nanopelagicaceae	Planktophila	vernalis	P.vernalis_11	acI-A7 (acI_5) Ca. Planktophila vernalis	photoheterotroph
4	GU305803.1.1484	786	181	4	78	B	Actinobacteria	Actinobacteria	Nanopelagicales	Nanopelagicaceae	Planktophila	vernalis	P.vernalis_12	acI-A7 (acI_1) Ca. Planktophila vernalis	photoheterotroph
164	HM129427.1.1440	880	202	4	87	B	Actinobacteria	Actinobacteria	Nanopelagicales	Nanopelagicaceae	Planktophila	acI_A1	P.A1_13	acI-A1 (acI_7) Ca. Planktophila sp.	photoheterotroph
201	GQ390228.1.1437	617	159	4	69	B	Actinobacteria	Actinobacteria	Nanopelagicales	Nanopelagicaceae	Planktophila	limnetica 	P.limnetica_14	acI-phila (acI_24) Ca.Planktophila limnetica	photoheterotroph
176	HM129375.1.1455	419	153	3	66	B	Actinobacteria	Actinobacteria	Nanopelagicales	Nanopelagicaceae	Planktophila	lacus	P.lacus_15	acI-A1 (acI_20) Ca. Planktophila Iacus	photoheterotroph
210	JN626666.1.1336	537	174	3	75	B	Actinobacteria	Actinobacteria	Nanopelagicales	Nanopelagicaceae	Planktophila	vernalis	P.vernalis_16	acI-A7  (acI_25) Ca. Planktophila vernalis	photoheterotroph
216	EU800657.1.1249	445	160	3	69	B	Actinobacteria	Actinobacteria	Nanopelagicales	Nanopelagicaceae	Planktophila	lacus	P.lacus_17	acI-A1 (acI_27) Ca. Planktophila Iacus	photoheterotroph
50	FJ827863.1.1488	162	92	2	40	B	Actinobacteria	Actinobacteria	Nanopelagicales	Nanopelagicaceae	Planktophila	acI_A1	P.A1_18	acI-A1 (acI_10) Ca. Planktophila sp.	photoheterotroph
64	AZHS01000013.11871.13367	197	120	2	52	B	Actinobacteria	Actinobacteria	Nanopelagicales	Nanopelagicaceae	Planktophila	vernalis	P.vernalis_19	acI-A7 (acI_11) Ca. Planktophila vernalis	photoheterotroph
184	EU117671.1.1506	10827	223	49	96	B	Actinobacteria	Actinobacteria	Nanopelagicales	Nanopelagicaceae	Planktophila	vernalis	P.vernalis_2	acI-A7 (acI_21) Ca. Planktophila vernalis	photoheterotroph
198	HM129990.1.1435	209	108	2	47	B	Actinobacteria	Actinobacteria	Nanopelagicales	Nanopelagicaceae	Planktophila	acI_A	Planktophila_20	acI-A? (acI_23) Ca. Planktophila sp.	photoheterotroph
221	EU800504.1.1478	217	111	2	48	B	Actinobacteria	Actinobacteria	Nanopelagicales	Nanopelagicaceae	Planktophila	vernalis	P.vernalis_21	acI-A7 (acI_29) Ca. Planktophila vernalis	photoheterotroph
220	JX406245.1.1480	690	34	20	15	B	Actinobacteria	Actinobacteria	Nanopelagicales	Nanopelagicaceae	Planktophila	acI-A6	P.A6_3	acI-A6 (acI_28) 	photoheterotroph
37	U85190.1.1261	3418	231	15	100	B	Actinobacteria	Actinobacteria	Nanopelagicales	Nanopelagicaceae	Planktophila	acI_A1	P.A1_4	acI-A1 ( acI_7) Ca. Planktophila versitilis/dulcis	photoheterotroph
129	EU117811.1.1506	3161	227	14	98	B	Actinobacteria	Actinobacteria	Nanopelagicales	Nanopelagicaceae	Planktophila	limnetica 	P.limnetica_5	acI-phila (acI_15) Ca.Planktophila limnetica	photoheterotroph
223	HM129033.1.1447	492	34	14	15	B	Actinobacteria	Actinobacteria	Nanopelagicales	Nanopelagicaceae	Planktophila	acI_A 	Planktophila_6	acI-A? ( acI_30) Ca. Planktophila sp.	photoheterotroph
5	EU801039.1.1483	2361	205	12	88	B	Actinobacteria	Actinobacteria	Nanopelagicales	Nanopelagicaceae	Planktophila	limnetica 	P.limnetica_7	acI-phila (acI_2) Ca.Planktophila limnetica	photoheterotroph
35	FJ612159.1.1423	2461	204	12	88	B	Actinobacteria	Actinobacteria	Nanopelagicales	Nanopelagicaceae	Planktophila	acI_A	Planktophila_8	(acI_6) Ca. Planktophila sp.	photoheterotroph
175	JN626727.1.1334	1289	198	7	85	B	Actinobacteria	Actinobacteria	Nanopelagicales	Nanopelagicaceae	Planktophila	acI_A1	P.A1_9	acI-A1 (acI_19) Ca. Planktophila versitilis/dulcis	photoheterotroph
150	AB753896.1.1428	832	162	5	70	B	Armatimonadetes	Armatimonadia	Armatimonadales	Armatimonadaceae	Armatimonadaceae	Armatimonadaceae	Armatimonadaceae	0	0
179	HQ661210.1.1432	193	49	4	21	B	Armatimonadetes	Fimbriimonadia	Fimbriimonadales	Fimbriimonadaceae	Fimbriimonas	Fimbriimonas	Fimbriimonas	0	0
85	HM129636.1.1445	718	164	4	71	B	Bacteroidetes	Cytophagia	Cytophagales	Cyclobacteriaceae	Cyclobacteriaceae	Cyclobacteriaceae	Cyclobacteriaceae	0	0
169	FN668106.1.1476	1095	197	6	85	B	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Cytophagaceae	Cytophagaceae	Cytophagaceae_1	0	0
100	JF697392.1.1466	217	94	2	41	B	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Cytophagaceae	Cytophagaceae	Cytophagaceae_2	0	0
138	GU472712.1.1450	761	148	5	64	B	Bacteroidetes	Flavobacteriia	Flavobacteriales	Cryomorphaceae	Cryomorphaceae	Cryomorphaceae	Cryomorphaceae_1	0	0
136	HM127377.1.1441	408	117	3	50	B	Bacteroidetes	Flavobacteriia	Flavobacteriales	Cryomorphaceae	Cryomorphaceae	Cryomorphaceae	Cryomorphaceae_2	0	0
166	FN668181.1.1494	1366	147	9	63	B	Bacteroidetes	Flavobacteriia	Flavobacteriales	Cryomorphaceae	Fluviicola	Fluviicola	Fluviicola_1	0	0
70	AF361205.1.1491	153	64	2	28	B	Bacteroidetes	Flavobacteriia	Flavobacteriales	Cryomorphaceae	Fluviicola	Fluviicola	Fluviicola_10	0	0
193	FN668191.1.1477	187	78	2	34	B	Bacteroidetes	Flavobacteriia	Flavobacteriales	Cryomorphaceae	Fluviicola	Fluviicola	Fluviicola_11	0	0
202	GU305778.1.1502	1184	148	8	64	B	Bacteroidetes	Flavobacteriia	Flavobacteriales	Cryomorphaceae	Fluviicola	Fluviicola	Fluviicola_2	0	0
161	FN668148.1.1473	669	117	6	50	B	Bacteroidetes	Flavobacteriia	Flavobacteriales	Cryomorphaceae	Fluviicola	Fluviicola	Fluviicola_3	0	0
213	KP686608.1.1447	270	57	5	25	B	Bacteroidetes	Flavobacteriia	Flavobacteriales	Cryomorphaceae	Fluviicola	Fluviicola	Fluviicola_4	0	0
156	EF471629.1.1438	269	52	5	22	B	Bacteroidetes	Flavobacteriia	Flavobacteriales	Cryomorphaceae	Fluviicola	Fluviicola	Fluviicola_5	0	0
83	AB753899.1.1448	371	95	4	41	B	Bacteroidetes	Flavobacteriia	Flavobacteriales	Cryomorphaceae	Fluviicola	Fluviicola	Fluviicola_6	0	0
110	GQ340086.1.1392	150	34	4	15	B	Bacteroidetes	Flavobacteriia	Flavobacteriales	Cryomorphaceae	Fluviicola	Fluviicola	Fluviicola_7	0	0
8	AB753964.1.1456	263	88	3	38	B	Bacteroidetes	Flavobacteriia	Flavobacteriales	Cryomorphaceae	Fluviicola	Fluviicola	Fluviicola_8	0	0
143	GQ340146.1.1393	159	54	3	23	B	Bacteroidetes	Flavobacteriia	Flavobacteriales	Cryomorphaceae	Fluviicola	Fluviicola	Fluviicola_9	0	0
101	EF632769.1.1354	259	35	7	15	B	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium	Flavobacterium_10	The Genus Flavobacterium	"mostly aquatic some fish pathogens, psychrotolerant, prefer low salinity, non-cellulolytic, most can degrade complex polysaccharides eg xylan, chitin, alginate"
227	HE574373.1.1890	219	41	5	18	B	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium	Flavobacterium_11	The Genus Flavobacterium	"mostly aquatic some fish pathogens, psychrotolerant, prefer low salinity, non-cellulolytic, most can degrade complex polysaccharides eg xylan, chitin, alginate"
177	FJ820479.1.1477	303	72	4	31	B	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium	Flavobacterium_13	The Genus Flavobacterium	"mostly aquatic some fish pathogens, psychrotolerant, prefer low salinity, non-cellulolytic, most can degrade complex polysaccharides eg xylan, chitin, alginate"
30	HE574374.1.1795	252	99	3	43	B	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium	Flavobacterium_14	The Genus Flavobacterium	"mostly aquatic some fish pathogens, psychrotolerant, prefer low salinity, non-cellulolytic, most can degrade complex polysaccharides eg xylan, chitin, alginate"
144	FJ612137.1.1475	162	47	3	20	B	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium	Flavobacterium_15	The Genus Flavobacterium	"mostly aquatic some fish pathogens, psychrotolerant, prefer low salinity, non-cellulolytic, most can degrade complex polysaccharides eg xylan, chitin, alginate"
145	FN668126.1.1484	378	112	3	48	B	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium	Flavobacterium_16	The Genus Flavobacterium	"mostly aquatic some fish pathogens, psychrotolerant, prefer low salinity, non-cellulolytic, most can degrade complex polysaccharides eg xylan, chitin, alginate"
188	AUSH02000015.468.1961	853	79	11	34	B	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium	Flavobacterium_2	The Genus Flavobacterium	"mostly aquatic some fish pathogens, psychrotolerant, prefer low salinity, non-cellulolytic, most can degrade complex polysaccharides eg xylan, chitin, alginate"
68	HM129561.1.1443	643	119	5	51	B	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium	Flavobacterium_3	The Genus Flavobacterium	"mostly aquatic some fish pathogens, psychrotolerant, prefer low salinity, non-cellulolytic, most can degrade complex polysaccharides eg xylan, chitin, alginate"
141	FJ502260.1.1488	438	49	9	21	B	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium	Flavobacterium_5	The Genus Flavobacterium	"mostly aquatic some fish pathogens, psychrotolerant, prefer low salinity, non-cellulolytic, most can degrade complex polysaccharides eg xylan, chitin, alginate"
191	AF529117.1.1420	631	70	9	30	B	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium	Flavobacterium_8	The Genus Flavobacterium	"mostly aquatic some fish pathogens, psychrotolerant, prefer low salinity, non-cellulolytic, most can degrade complex polysaccharides eg xylan, chitin, alginate"
10	FQ658557.1.1361	318	115	3	50	B	Bacteroidetes	Saprospirae	Saprospirales	Chitinophagaceae	Chitinophagaceae	Chitinophagaceae	Chitinophagaceae_1	prob a basal member of Ferruginibacter genus	"Gram-stain-negative thin rods that do not form endospores, usually nonmotile. Swarming motility may occur. Aerobic or facultatively anaerobic. Limited fermentative capabilities are observed in some members"
43	HM128951.1.1451	4031	224	18	97	B	Bacteroidetes	Saprospirae	Saprospirales	Chitinophagaceae	Sediminibacterium	Sediminibacterium	Sediminibacterium_1	genus Sediminibacterium	"Gram-stain-negative thin rods that do not form endospores, gliding motility. Aerobic or facultatively anaerobic. Limited fermentative capabilities are observed in some members"
204	AF361195.1.1502	3355	188	18	81	B	Bacteroidetes	Saprospirae	Saprospirales	Chitinophagaceae	Sediminibacterium	Sediminibacterium	Sediminibacterium_2	genus Sediminibacterium	"Gram-stain-negative thin rods that do not form endospores, usually nonmotile. Swarming motility may occur. Aerobic or facultatively anaerobic. Limited fermentative capabilities are observed in some members"
186	EF019811.1.1352	404	31	13	13	B	Bacteroidetes	Saprospirae	Saprospirales	Chitinophagaceae	Sediminibacterium	Sediminibacterium	Sediminibacterium_3	genus Sediminibacterium	"Gram-stain-negative thin rods that do not form endospores, usually nonmotile. Swarming motility may occur. Aerobic or facultatively anaerobic. Limited fermentative capabilities are observed in some members"
108	FN668098.1.1488	192	59	3	25	B	Bacteroidetes	Saprospirae	Saprospirales	Chitinophagaceae	Sediminibacterium	Sediminibacterium	Sediminibacterium_4	genus Sediminibacterium	"Gram-stain-negative thin rods that do not form endospores, usually nonmotile. Swarming motility may occur. Aerobic or facultatively anaerobic. Limited fermentative capabilities are observed in some members"
89	GU305760.1.1474	253	113	2	49	B	Bacteroidetes	Saprospirae	Saprospirales	Saprospiraceae	Saprospiraceae	Saprospiraceae	Saprospiraceae	0	0
61	AB722254.1.1352	656	70	9	30	B	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriales	Sphingobacteriales	Sphingobacteriales	Sphingobacteriales_1	0	0
137	AB753955.1.1444	352	72	5	31	B	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriales	Sphingobacteriales	Sphingobacteriales	Sphingobacteriales_2	0	0
153	GQ340074.1.1468	445	99	4	43	B	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriales	Sphingobacteriales	Sphingobacteriales	Sphingobacteriales_3	0	0
3	HQ111163.1.1491	205	70	3	30	B	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriales	Sphingobacteriales	Sphingobacteriales	Sphingobacteriales_4	0	0
78	JN679148.1.1489	161	64	3	28	B	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriales	Sphingobacteriales	Sphingobacteriales	Sphingobacteriales_5	0	0
91	AB753958.1.1446	224	70	3	30	B	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriales	Sphingobacteriales	Sphingobacteriales	Sphingobacteriales_6	0	0
119	AF361198.1.1498	199	79	3	34	B	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriales	Sphingobacteriales	Sphingobacteriales	Sphingobacteriales_7	0	0
170	HE574348.1.1420	221	72	3	31	B	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriales	Sphingobacteriales	Sphingobacteriales	Sphingobacteriales_8	0	0
75	HM856394.1.1444	626	123	5	53	B	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacteriaceae	Sphingobacteriaceae	Sphingobacteriaceae_1	0	0
21	AF414577.1.1396	417	119	4	51	B	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacteriaceae	Sphingobacteriaceae	Sphingobacteriaceae_2	0	0
12	EU703404.1.1487	202	92	2	40	B	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacteriaceae	Sphingobacteriaceae	Sphingobacteriaceae_3	0	0
229	JQ941846.1.1390	674	74	9	32	B	Chlorobi	OPB56	OPB56	OPB56	OPB56	OPB56	OPB56_1	0	"heterotrophs, probably simple sugars"
84	EU703338.1.1342	403	76	5	33	B	Chlorobi	OPB56	OPB56	OPB56	OPB56	OPB56	OPB56_2	0	"heterotrophs, probably simple sugars"
149	HQ856336.1.1448	266	53	5	23	B	Chlorobi	OPB56	OPB56	OPB56	OPB56	OPB56	OPB56_3	0	"heterotrophs, probably simple sugars"
178	AF418964.1.1432	1003	171	6	74	B	Chloroflexi	Chloroflexi	Roseiflexales	Roseiflexales	Roseiflexales	Roseiflexales	Roseiflexales_1	0	0
183	EU703171.1.1433	668	122	5	53	B	Chloroflexi	Chloroflexi	Roseiflexales	Roseiflexales	Roseiflexales	Roseiflexales	Roseiflexales_2	0	0
80	EU800642.1.1476	1053	190	6	82	B	Chloroflexi	SL56	SL56	SL56	SL56	SL56	SL56_1	0	0
117	EU803898.1.1463	372	125	3	54	B	Chloroflexi	SL56	SL56	SL56	SL56	SL56	SL56_2	0	0
39	AM230703.1.1469	1231	38	32	16	B	Cyanobacteria	Nostocophycideae	Nostocales	Nostocaceae	Nostocaceae	Nostocaceae	Nostocaceae_1	0	0
214	JX887895.1.1444	1268	42	30	18	B	Cyanobacteria	Nostocophycideae	Nostocales	Nostocaceae	Nostocaceae	Nostocaceae	Nostocaceae_2	0	0
154	LN871456.1.1477	401	44	9	19	B	Cyanobacteria	Nostocophycideae	Nostocales	Nostocaceae	Dolichospermum	Dolichospermum	Dolichospermum_1	0	0
53	JX006088.1.1763	660	94	7	41	B	Cyanobacteria	Nostocophycideae	Nostocales	Nostocaceae	Dolichospermum	Dolichospermum	Dolichospermum_2	0	0
185	JX887886.1.1448	232	62	4	27	B	Cyanobacteria	Oscillatoriophycideae	Chroococcales	Gomphosphaeriaceae	Gomphosphaeriaceae	Gomphosphaeriaceae	Gomphosphaeriaceae	0	0
109	GU305833.1.1453	5298	124	43	53	B	Cyanobacteria	Oscillatoriophycideae	Chroococcales	Microcystaceae	Microcystis	Microcystis	Microcystis_1	0	0
120	GU305813.1.1469	633	36	18	16	B	Cyanobacteria	Oscillatoriophycideae	Chroococcales	Microcystaceae	Microcystis	Microcystis	Microcystis_2	0	0
